labels,parents,values
DLP Course 1,Books and Courses,0.19277777777777777
DLS Course 2 Week 2,Books and Courses,2.403611111111111
DLS Course 2 Week 3,Books and Courses,5.013888888888889
DLS Course 4 Week 1,Books and Courses,3.1930555555555555
DLS Course 4 Week 2,Books and Courses,4.866143611111111
DLS Course 4 Week 3,Books and Courses,1.4294444444444445
DLS Course 4 Week 4,Books and Courses,1.1966666666666668
DLS Course 5,Books and Courses,6.525555555555556
Hands on ML,Books and Courses,17.0
Inception Paper,Books and Courses,0.07055555555555555
NLP Course 2,Books and Courses,14.430833333333334
Res Net Paper,Books and Courses,0.058888888888888886
TIP Course 1,Books and Courses,6.635277777777778
TIP Course 2,Books and Courses,7.688611111111111
TIP Course 3,Books and Courses,6.0625
TIP Course 4,Books and Courses,3.65
Applying ,chores,1.4166666666666667
applying to a data science intern position,chores,0.5072222222222222
"mails, docs, pdfs",chores,2.2872222222222223
PC Work,chores,8.369722222222222
resume,chores,0.6730555555555555
assignment,College Work,2.5894444444444447
DSD,College Work,8.666666666666666
DSD TA,College Work,0.5
ED Assignment ,College Work,1.0
Electronic Devices UT 1,College Work,3.25
EM Lab Assignment,College Work,1.583888888888889
Math for UT,College Work,8.583333333333334
Network Theory UT 1,College Work,14.860833333333334
NT Unit 1,College Work,0.3338888888888889
reading economics for speech ,College Work,0.8230555555555555
Signals and Systems,College Work,3.8333333333333335
TBI data collection,College Work,0.5641666666666667
No Label,Googling/Browsing,0.7002777777777778
DL,Googling/Browsing,1.7883333333333333
GSoC,Googling/Browsing,0.5530555555555555
PyPi setup,Googling/Browsing,0.5
Detecting Pneumonia ,Kaggle,10.719444444444445
Kaggle(label),Kaggle,0.78
Mechanisms of Action (MoA) Prediction,Kaggle,0.0008333333333333334
OpenVaccine: COVID-19 mRNA Vaccine Degradation Prediction,Kaggle,55.14194444444445
Applying for Fellowship ,Overall,0.0008333333333333334
Creating Resume,Overall,4.065
Filling the MLH Form ,Overall,1.3333333333333333
Electricity Project ,Side Projects,0.5372222222222223
reading unscripted,Side Projects,27.779444444444444
Toggle Dashboard ,Side Projects,22.170277777777777
three js,web development(WFN),4.6825
creating plotly based 3d scatter plots for wfn,Wiki For Nerds,0.78
reading about mediawiki api,Wiki For Nerds,0.5483333333333333
WFN PPT,Wiki For Nerds,1.9313888888888888
Overall,total,5.399166666666667
College Work,total,46.58861111111111
Wiki For Nerds,total,3.2597222222222224
web development(WFN),total,4.6825
Kaggle,total,66.64222222222222
Side Projects,total,50.48694444444445
Books and Courses,total,80.41781027777778
chores,total,13.25388888888889
Googling/Browsing,total,3.5416666666666665
total,,274.2725325
